aya_id,page,x,y
340,56,82,230
341,56,82,299
342,56,81,651
343,56,436,861
344,56,424,931
345,56,82,1073
346,57,81,164
347,57,586,164
348,57,286,445
349,57,552,586
350,57,227,654
351,57,225,725
352,57,83,866
353,57,568,867
354,57,81,1078
355,58,84,166
356,58,518,167
357,58,524,446
358,58,84,518
359,58,528,728
360,58,84,798
361,58,406,939
362,58,157,1009
363,58,85,1077
364,59,540,161
365,59,510,303
366,59,557,511
367,59,595,583
368,59,82,794
369,59,82,865
370,59,83,1075
371,60,527,302
372,60,282,515
373,60,502,653
374,60,491,934
375,60,563,1004
376,60,83,1075
377,61,467,305
378,61,193,376
379,61,545,589
380,61,330,656
381,61,319,727
382,61,192,798
383,61,434,937
384,61,82,1078
385,62,479,161
386,62,83,305
387,62,532,442
388,62,414,512
389,62,347,583
390,62,82,724
391,62,494,864
392,62,485,1004
393,62,83,1075
394,63,85,159
395,63,583,302
396,63,581,585
397,63,84,656
398,63,372,795
399,63,302,934
400,63,218,1004
401,63,84,1076
402,64,83,91
403,64,538,370
404,64,264,440
405,64,183,721
406,64,342,861
407,64,128,1001
408,64,84,1071
409,65,83,159
410,65,234,370
411,65,82,581
412,65,574,862
413,65,296,1002
414,65,83,1072
415,66,436,164
416,66,309,234
417,66,606,376
418,66,83,445
419,66,214,586
420,66,82,655
421,66,596,796
422,66,159,866
423,66,380,1006
424,66,83,1077
425,66,573,1078
426,67,277,164
427,67,304,303
428,67,439,513
429,67,536,653
430,67,84,724
431,67,84,793
432,67,84,864
433,67,84,1072
434,68,119,98
435,68,433,233
436,68,214,305
437,68,245,515
438,68,418,726
439,68,305,867
440,68,331,1007
441,68,84,1077
442,69,88,162
443,69,172,236
444,69,416,445
445,69,87,795
446,69,87,1079
447,70,372,583
448,70,154,726
449,70,339,1007
450,70,85,1077
451,71,294,91
452,71,284,301
453,71,307,441
454,71,337,582
455,71,84,653
456,71,147,724
457,71,162,933
458,71,84,1074
459,72,84,90
460,72,386,370
461,72,474,512
462,72,288,581
463,72,233,722
464,72,577,862
465,72,82,933
466,72,84,1073
467,73,317,168
468,73,87,239
469,73,610,446
470,73,413,516
471,73,535,654
472,73,204,863
473,73,86,1070
474,74,415,235
475,74,334,305
476,74,85,516
477,74,237,656
478,74,288,867
479,74,86,1079
480,75,394,235
481,75,211,375
482,75,148,445
483,75,503,584
484,75,85,726
485,75,598,867
486,75,376,1008
487,75,87,1078
488,76,521,447
489,76,84,518
490,76,613,518
491,76,280,728
492,76,453,1009
493,76,85,1077
494,77,388,372
495,77,76,443
496,77,494,655
497,77,279,726
498,77,578,866
499,77,76,1077
500,78,578,230
501,78,85,300
502,78,138,442
503,78,308,581
504,78,85,1073
505,79,529,796
506,79,84,936
507,79,85,1080
