aya_id,page,x,y
333,55,230,384
334,55,465,569
335,55,266,754
336,55,595,939
337,55,610,1032
338,55,413,1217
339,55,109,1402
340,56,107,107
341,56,107,292
342,56,107,847
343,56,602,1124
344,56,546,1218
345,56,107,1402
346,57,774,199
347,57,107,200
348,57,384,569
349,57,703,756
350,57,291,847
351,57,277,939
352,57,110,1124
353,57,706,1124
354,57,107,1402
355,58,108,199
356,58,666,199
357,58,722,569
358,58,107,662
359,58,702,939
360,58,108,1032
361,58,556,1217
362,58,193,1309
363,58,109,1407
364,59,696,199
365,59,651,384
366,59,742,662
367,59,791,754
368,59,108,1032
369,59,108,1124
370,59,108,1402
371,60,723,384
372,60,362,662
373,60,678,847
374,60,659,1217
375,60,740,1309
376,60,106,1402
377,61,617,385
378,61,240,477
379,61,729,754
380,61,481,847
381,61,421,939
382,61,271,1032
383,61,521,1217
384,61,108,1402
385,62,384,107
386,62,603,199
387,62,109,384
388,62,707,569
389,62,538,662
390,62,426,754
391,62,111,939
392,62,641,1124
393,62,623,1309
394,62,107,1402
395,63,106,200
396,63,790,385
397,63,793,755
398,63,107,847
399,63,416,1032
400,63,371,1217
401,63,222,1310
402,63,108,1402
403,64,107,107
404,64,750,477
405,64,357,569
406,64,107,939
407,64,291,1124
408,64,107,1309
409,64,107,1402
410,65,107,199
411,65,286,477
412,65,111,754
413,65,773,1124
414,65,350,1309
415,65,107,1402
416,66,614,200
417,66,426,292
418,66,810,477
419,66,109,570
420,66,285,754
421,66,109,847
422,66,743,1032
423,66,109,1125
424,66,478,1309
425,66,110,1402
426,66,752,1402
427,67,339,200
428,67,367,385
429,67,689,662
430,67,669,847
431,67,107,940
432,67,107,1032
433,67,107,1124
434,67,107,1402
435,68,134,107
436,68,551,292
437,68,287,385
438,68,279,662
439,68,604,940
440,68,448,1124
441,68,379,1309
442,68,102,1402
443,69,109,200
444,69,247,292
445,69,620,569
446,69,108,1032
447,69,108,1402
448,70,513,755
449,70,317,940
450,70,443,1310
451,70,112,1402
452,71,383,107
453,71,325,385
454,71,346,569
455,71,283,754
456,71,792,939
457,71,106,940
458,71,107,1217
459,71,107,1402
460,72,768,200
461,72,519,477
462,72,663,662
463,72,382,755
464,72,294,939
465,72,767,1124
466,72,107,1217
467,72,107,1402
468,73,454,200
469,73,107,292
470,73,808,570
471,73,563,662
472,73,704,847
473,73,166,1125
474,73,108,1402
475,74,579,292
476,74,475,385
477,74,110,662
478,74,303,847
479,74,364,1125
480,74,110,1402
481,75,545,292
482,75,299,477
483,75,193,570
484,75,667,754
485,75,110,940
486,75,775,1125
487,75,515,1310
488,75,107,1402
489,76,713,570
490,76,799,662
491,76,787,755
492,76,320,940
493,76,572,1310
494,76,112,1402
495,77,489,487
496,77,107,578
497,77,661,853
498,77,439,944
499,77,827,1129
500,77,334,1146
501,77,106,1402
502,78,754,292
503,78,109,384
504,78,163,569
505,78,405,754
506,78,113,1402
507,79,705,1032
508,79,111,1217
509,79,111,1402
510,80,108,292
511,80,108,477
512,80,458,754
513,80,400,1032
514,80,107,1402
515,81,599,292
516,81,111,385
517,81,782,662
518,81,845,1235
519,81,111,1402
520,82,331,401
521,82,766,569
522,82,105,1217
523,82,105,1402
524,83,419,199
525,83,461,292
526,83,510,569
527,83,804,754
528,83,111,847
529,83,803,1217
530,83,114,1402
531,84,501,569
532,84,784,847
533,84,388,1217
534,84,109,1402
535,85,823,292
536,85,333,384
537,85,721,569
538,85,406,662
539,85,750,847
540,85,564,1309
541,86,108,107
542,86,767,569
543,86,712,847
