aya_id,page,x,y
452,68,116,293
453,68,216,420
454,68,146,507
455,68,115,592
456,68,32,635
457,69,35,80
458,69,93,123
459,69,235,251
460,69,391,505
461,69,43,636
462,70,262,33
463,70,187,335
464,70,75,420
465,70,218,591
466,70,374,631
467,70,30,636
468,71,137,39
469,71,134,166
470,71,145,251
471,71,163,337
472,71,396,420
473,71,34,422
474,71,138,505
475,71,35,552
476,71,37,636
477,72,48,0
478,72,394,78
479,72,167,208
480,72,215,294
481,72,82,337
482,72,32,422
483,72,322,506
484,72,31,552
485,72,35,639
486,73,159,80
487,73,32,124
488,73,349,249
489,73,194,293
490,73,260,377
491,73,62,510
492,73,31,636
493,74,209,125
494,74,163,166
495,74,31,295
496,74,195,379
497,74,264,508
498,74,30,637
499,75,203,118
500,75,107,205
501,75,88,248
502,75,273,332
503,75,291,415
504,75,32,420
505,75,341,503
506,75,191,590
507,75,32,634
508,76,27,202
509,76,108,245
510,76,151,287
511,76,91,374
512,76,256,543
513,76,31,587
514,77,158,162
515,77,298,248
516,77,79,334
517,77,317,418
518,77,70,463
519,77,31,634
520,78,321,120
521,78,391,206
522,78,30,250
523,78,124,336
524,78,32,636
525,79,392,465
526,79,35,550
527,79,41,637
528,80,389,166
529,80,389,251
530,80,236,338
531,80,143,467
532,80,32,639
533,81,240,122
534,81,335,208
535,81,274,293
536,81,33,636
537,82,336,251
538,82,393,593
539,82,33,638
540,83,151,79
541,83,155,122
542,83,221,251
543,83,343,335
544,83,34,379
545,83,338,549
546,83,33,637
547,84,176,251
548,84,390,381
549,84,213,551
550,84,28,636
551,85,353,117
552,85,128,160
553,85,300,244
554,85,163,288
555,85,314,372
556,85,253,588
557,85,32,632
558,86,31,39
559,86,324,250
560,86,308,378
561,86,392,462
562,86,262,506
563,86,261,549
564,86,40,635
565,87,33,36
566,87,60,79
567,87,37,164
568,87,394,250
569,87,270,336
570,87,80,421
571,87,353,550
572,87,35,636
573,88,282,164
574,88,318,251
575,88,258,337
576,88,234,422
577,88,194,551
578,88,32,636
579,89,157,122
580,89,269,164
581,89,34,165
582,89,268,293
583,89,305,336
584,89,181,379
585,89,334,464
586,89,287,549
587,89,31,639
588,90,348,162
589,90,252,248
590,90,77,420
591,90,290,591
592,90,29,635
593,91,279,77
594,91,392,206
595,91,234,250
596,91,32,376
597,91,275,506
598,91,201,593
599,91,29,635
600,92,206,77
601,92,78,162
602,92,31,290
603,92,33,461
604,92,35,631
605,93,213,337
606,93,82,423
607,93,40,638
608,94,162,165
609,94,200,205
610,94,247,333
611,94,34,379
612,94,36,421
613,94,102,550
614,94,35,636
615,95,36,335
616,95,118,464
617,95,335,592
618,95,32,636
619,96,103,37
620,96,302,123
621,96,213,209
622,96,113,294
623,96,335,378
624,96,231,421
625,96,75,466
626,96,38,636
627,97,67,119
628,97,342,246
629,97,394,332
630,97,246,375
631,97,202,419
632,97,35,549
633,97,34,594
634,97,35,635
635,98,142,119
636,98,94,203
637,98,73,291
638,98,79,374
639,98,341,459
640,98,36,631
641,99,236,162
642,99,243,291
643,99,126,335
644,99,34,464
645,99,34,506
646,99,267,591
647,99,35,636
648,100,72,165
649,100,297,337
650,100,346,421
651,100,75,421
652,100,175,507
653,100,35,637
654,101,31,164
655,101,354,289
656,101,163,336
657,101,120,420
658,101,32,464
659,101,228,591
660,101,36,636
661,102,281,76
662,102,190,120
663,102,176,248
664,102,122,292
665,102,101,379
666,102,36,549
667,102,37,634
668,103,244,120
669,103,303,164
670,103,290,291
671,103,394,336
672,103,204,378
673,103,354,462
674,103,84,505
675,103,32,633
676,104,246,164
677,104,303,249
678,104,393,334
679,104,100,378
680,104,393,463
681,104,274,506
682,104,222,549
683,104,31,633
684,105,136,247
685,105,310,374
686,105,113,505
687,105,31,550
688,105,34,635
689,106,30,208
690,106,301,419
691,106,29,635
692,107,33,290
693,107,396,459
694,107,32,635
695,108,311,330
696,108,35,333
697,108,317,460
698,108,386,502
699,108,191,589
700,108,36,632
701,109,319,75
702,109,282,204
703,109,74,465
704,109,34,635
705,110,185,163
706,110,323,334
707,110,392,458
708,110,36,635
709,111,207,166
710,111,309,296
711,111,125,381
712,111,258,467
713,111,270,553
714,111,31,639
715,112,89,75
716,112,305,161
717,112,395,246
718,112,175,332
719,112,293,418
720,112,101,461
721,112,31,504
722,112,34,633
723,113,72,207
724,113,396,419
725,113,211,465
726,113,222,550
727,113,34,636
728,114,256,78
729,114,392,162
730,114,223,207
